Average velocities saved to average_velocities.txt
         31881503 function calls (31027791 primitive calls) in 41.996 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      608    0.003    0.000    0.121    0.000 ticker.py:447(__init__)
     8657    0.049    0.000    0.121    0.000 _stride_tricks_impl.py:495(broadcast_arrays)
      603    0.024    0.000    0.121    0.000 axis3d.py:490(_draw_offset_text)
    81611    0.082    0.000    0.119    0.000 {built-in method _abc._abc_instancecheck}
     2430    0.015    0.000    0.119    0.000 axis.py:1600(_get_tick_label_size)
    13545    0.059    0.000    0.119    0.000 __init__.py:132(check_shape)
   173497    0.119    0.000    0.119    0.000 transforms.py:113(__init__)
      200    0.005    0.000    0.119    0.001 collections.py:239(get_datalim)
     2090    0.007    0.000    0.118    0.000 figure.py:2769(_set_dpi)
    88304    0.080    0.000    0.118    0.000 enum.py:726(__call__)
      603    0.009    0.000    0.117    0.000 axes3d.py:391(apply_aspect)
     9810    0.019    0.000    0.117    0.000 transforms.py:2008(rotate_deg)
     8495    0.020    0.000    0.116    0.000 transforms.py:795(unit)
     9714    0.013    0.000    0.113    0.000 artist.py:920(_set_gc_clip)
      608    0.009    0.000    0.112    0.000 ticker.py:559(set_useMathText)
      291    0.112    0.000    0.112    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.111    0.111 _base.py:1(<module>)
    10280    0.023    0.000    0.111    0.000 text.py:1030(set_linespacing)
     9673    0.016    0.000    0.110    0.000 text.py:1098(set_fontsize)
      644    0.008    0.000    0.109    0.000 text.py:918(get_window_extent)
    19720    0.108    0.000    0.109    0.000 {built-in method matplotlib._path.affine_transform}
      414    0.007    0.000    0.107    0.000 path.py:502(contains_point)
      218    0.030    0.000    0.107    0.000 artist.py:1519(get_setters)
      326    0.001    0.000    0.106    0.000 backend_bases.py:2954(_mouse_event_to_message)
359554/358027    0.104    0.000    0.105    0.000 {built-in method builtins.len}
        1    0.046    0.046    0.104    0.104 cbook.py:1416(_reshape_2D)
    19451    0.037    0.000    0.103    0.000 {built-in method builtins.sorted}
139586/139416    0.102    0.000    0.103    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.103    0.103 collections.py:1(<module>)
     2018    0.016    0.000    0.103    0.000 _base.py:2546(_process_unit_info)
     9714    0.020    0.000    0.100    0.000 backend_bases.py:879(set_clip_path)
      201    0.013    0.000    0.099    0.000 axes3d.py:1214(get_proj)
    54198    0.026    0.000    0.099    0.000 copy.py:252(<genexpr>)
     1215    0.056    0.000    0.099    0.000 numeric.py:2349(isclose)
    21159    0.041    0.000    0.099    0.000 text.py:1249(set_verticalalignment)
6064/5863    0.033    0.000    0.098    0.000 transforms.py:1787(__eq__)
      326    0.097    0.000    0.097    0.000 {method 'set_message' of 'matplotlib.backends._macosx.NavigationToolbar2' objects}
        1    0.000    0.000    0.097    0.097 geo.py:1(<module>)
    34749    0.037    0.000    0.096    0.000 cbook.py:1390(_to_unmasked_float_array)
    34898    0.038    0.000    0.096    0.000 lines.py:75(_scale_dashes)
    69583    0.095    0.000    0.095    0.000 {method 'match' of 're.Pattern' objects}
167132/167098    0.080    0.000    0.094    0.000 {built-in method builtins.hasattr}
        2    0.036    0.018    0.094    0.047 backend_macosx.py:150(__init__)
   237851    0.093    0.000    0.093    0.000 {method 'values' of 'dict' objects}
     2430    0.009    0.000    0.093    0.000 fromnumeric.py:2250(clip)
     9810    0.046    0.000    0.092    0.000 transforms.py:1985(rotate)
     4215    0.013    0.000    0.092    0.000 markers.py:776(_set_tickdown)
      200    0.005    0.000    0.091    0.000 cbook.py:1041(_combine_masks)
     4620    0.028    0.000    0.091    0.000 core.py:3278(__getitem__)
    20403    0.091    0.000    0.091    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    28434    0.025    0.000    0.091    0.000 artist.py:1040(set_visible)
      200    0.002    0.000    0.090    0.000 collections.py:1013(__init__)
